term,coef,odds_ratio,ci_low,ci_high,p_value
C(sex)[T.Male],0.41112427987684086,1.5085128226965,1.3117845735338718,1.734744394889016,8.092683693078638e-09
C(race_ethnicity)[T.Non-Hispanic Asian],0.29979582044480946,1.3495832221405155,1.0039447787527802,1.8142181841374827,0.04702828373595901
C(race_ethnicity)[T.Non-Hispanic Black],-0.2026282946240316,0.8165817128337167,0.6384845567510494,1.0443568081388064,0.1064811018662503
C(race_ethnicity)[T.Non-Hispanic White],-0.6524247432712856,0.5207814831896153,0.4046133089697564,0.67030260058363,4.0561086822701083e-07
C(race_ethnicity)[T.Other Hispanic],-0.319628581340006,0.7264187924689894,0.5413553625677048,0.974746531648349,0.03313446819936199
C(race_ethnicity)[T.Other/Multiracial],0.10797482441488221,1.1140196989356728,0.7724393964338421,1.6066501726171596,0.5633070393823515
C(education_level)[T.<9th grade],0.17463080440982287,1.1908064949390156,0.8814944166705603,1.6086546682222478,0.25512496886285996
C(education_level)[T.College graduate],-0.5041119489940737,0.6040417572035259,0.4687062970862644,0.7784543256912346,9.818541340656889e-05
C(education_level)[T.High school/GED],-0.10363171412739335,0.9015572670923986,0.7096651522738688,1.1453366467872477,0.3960603799256269
C(education_level)[T.Some college/AA],-0.10007070112286647,0.9047734472759218,0.7170240266418485,1.1416841841820888,0.39905039229597294
age_years,0.0638771662488672,1.0659614546754526,1.0605957605887883,1.0713542945174568,7.120777165902341e-136
bmi,0.07682155853664616,1.0798493692979845,1.0698055604853747,1.0899874738398279,2.077458487003931e-58
systolic_bp_mean,-0.0010078880105881276,0.998992619737934,0.9952478121323541,1.0027515178884332,0.5988948324667939
